date,description,amount
2026-01-02,Salary January,4200.00
2026-01-03,Lidl groceries,-64.32
2026-01-05,Spotify subscription,-10.99
2026-01-08,Metro ticket,-3.50
2026-01-10,Rent payment,-1300.00
2026-01-13,Coffee House,-8.40
2026-01-17,Amazon order,-89.90
2026-01-21,Pharmacy purchase,-24.10
2026-02-02,Salary February,4200.00
2026-02-04,Aldi groceries,-71.20
2026-02-08,Uber ride,-18.60
2026-02-10,Rent payment,-1300.00
2026-02-14,Restaurant dinner,-46.80
2026-02-16,Netflix subscription,-15.49
2026-02-22,Doctor appointment,-120.00
2026-03-02,Salary March,4200.00
2026-03-05,Carrefour market,-83.45
2026-03-09,Train ticket,-32.00
2026-03-10,Rent payment,-1300.00
2026-03-18,Apple subscription,-4.99
2026-03-20,Electronics store,-590.00
2026-03-25,Restaurant lunch,-22.30
