date,description,amount
2026-05-01,Invoice payment client A,2200.00
2026-05-03,Google subscription,-12.99
2026-05-04,Coworking space rent,-180.00
2026-05-06,Cafe client meeting,-14.80
2026-05-08,Uber ride to meeting,-21.40
2026-05-10,Invoice payment client B,1450.00
2026-05-11,Amazon office supplies,-96.70
2026-05-14,Internet utilities,-54.99
2026-05-16,Restaurant team lunch,-68.20
2026-05-18,Apple subscription,-9.99
2026-05-20,Doctor appointment,-95.00
2026-05-24,Electronics store laptop repair,-430.00
2026-05-29,Invoice payment client C,980.00
